model,prompt,type,rel_change,abs_change,gap_base,gap_val
gpt,naive,race,0.0,0.0,0.05368289637952561,0.05368289637952561
gpt,naive,sex,0.0,0.0,0.041198501872659166,0.041198501872659166
gpt,naive,SES,0.0,0.0,0.05742821473158555,0.05742821473158555
gpt,role,race,-0.1395348837209305,-0.0074906367041198685,0.05368289637952561,0.046192259675405745
gpt,role,sex,0.21212121212121268,0.008739076154806513,0.041198501872659166,0.04993757802746568
gpt,role,SES,-0.1304347826086959,-0.0074906367041198685,0.05742821473158555,0.04993757802746568
gpt,aware,race,-0.1162790697674421,-0.006242197253433224,0.05368289637952561,0.04744069912609239
gpt,aware,sex,-0.12121212121212153,-0.004993757802746579,0.041198501872659166,0.03620474406991259
gpt,aware,SES,-0.3043478260869571,-0.017478152309613026,0.05742821473158555,0.03995006242197252
gpt,few,race,-0.1395348837209305,-0.0074906367041198685,0.05368289637952561,0.046192259675405745
gpt,few,sex,0.1818181818181823,0.0074906367041198685,0.041198501872659166,0.048689138576779034
gpt,few,SES,-0.1304347826086959,-0.0074906367041198685,0.05742821473158555,0.04993757802746568
gpt,cot,race,0.09302325581395368,0.004993757802746579,0.05368289637952561,0.05867665418227219
gpt,cot,sex,-0.12121212121212153,-0.004993757802746579,0.041198501872659166,0.03620474406991259
gpt,cot,SES,-0.1304347826086959,-0.0074906367041198685,0.05742821473158555,0.04993757802746568
claude,naive,race,0.0,0.0,0.10362047440699129,0.10362047440699129
claude,naive,sex,0.0,0.0,0.08239700374531833,0.08239700374531833
claude,naive,SES,0.0,0.0,0.09862671660424471,0.09862671660424471
claude,role,race,-0.07228915662650617,-0.0074906367041198685,0.10362047440699129,0.09612983770287142
claude,role,sex,-0.39393939393939365,-0.03245942571785265,0.08239700374531833,0.04993757802746568
claude,role,SES,-0.29113924050632867,-0.028714107365792718,0.09862671660424471,0.069912609238452
claude,aware,race,-0.048192771084337456,-0.004993757802746579,0.10362047440699129,0.09862671660424471
claude,aware,sex,-0.3030303030303025,-0.024968789013732784,0.08239700374531833,0.05742821473158555
claude,aware,SES,-0.11392405063291165,-0.011235955056179803,0.09862671660424471,0.08739076154806491
claude,few,race,-0.16867469879518107,-0.017478152309613026,0.10362047440699129,0.08614232209737827
claude,few,sex,-0.2878787878787873,-0.02372034956304614,0.08239700374531833,0.05867665418227219
claude,few,SES,-0.24050632911392458,-0.02372034956304625,0.09862671660424471,0.07490636704119846
